"DexNumber","Name","Form","Type1","Type2","HP","Attack","Defense","SpAttack","SpDefense","Speed","Ability1","Ability2","HiddenAbility","Weight","Height","ApiId","Moves"
"362","glalie","","ice","","80","80","80","80","80","80","inner-focus","ice-body","moody","2565","15","362","avalanche,bite,blizzard,block,body-slam,bulldoze,chilling-water,crunch,dark-pulse,disable,double-team,earthquake,endure,explosion,facade,fake-tears,foul-play,freeze-dry,frost-breath,giga-impact,gyro-ball,helping-hand,hex,hyper-beam,ice-beam,ice-fang,ice-shard,ice-spinner,icicle-crash,icicle-spear,icy-wind,iron-head,light-screen,payback,protect,rain-dance,rest,round,scary-face,self-destruct,shadow-ball,sheer-cold,sleep-talk,snore,snowscape,spikes,spite,steel-roller,substitute,switcheroo,taunt,trailblaze,water-pulse,weather-ball"
"389","torterra","","grass","ground","95","109","105","75","85","56","overgrow","shell-armor","","3100","22","389","amnesia,attract,bite,body-press,body-slam,bulldoze,bullet-seed,crunch,curse,double-edge,earth-power,earthquake,endure,energy-ball,facade,frenzy-plant,giga-drain,giga-impact,grass-knot,grassy-glide,grassy-terrain,growth,hard-press,headlong-rush,heavy-slam,high-horsepower,hyper-beam,hyper-voice,iron-defense,iron-head,leaf-storm,leech-seed,light-screen,mud-shot,mud-slap,outrage,protect,reflect,rest,roar,rock-blast,rock-slide,rock-tomb,round,sand-tomb,sandstorm,scary-face,scorching-sands,seed-bomb,shell-smash,sleep-talk,smack-down,snore,solar-beam,spit-up,stealth-rock,stockpile,stomping-tantrum,stone-edge,substitute,sunny-day,superpower,swallow,swords-dance,synthesis,thrash,tickle,trailblaze,wide-guard,wood-hammer,worry-seed,zen-headbutt"
"392","infernape","","fire","fighting","76","104","71","104","71","108","blaze","iron-fist","","550","12","392","acrobatics,aerial-ace,agility,attract,aura-sphere,blast-burn,blaze-kick,body-slam,brick-break,bulk-up,bulldoze,burning-jealousy,calm-mind,close-combat,coaching,counter,dig,double-edge,drain-punch,earthquake,encore,endeavor,endure,facade,fake-out,fake-tears,feint,fire-blast,fire-punch,fire-spin,flame-charge,flamethrower,flare-blitz,fling,focus-blast,focus-energy,focus-punch,giga-impact,grass-knot,gunk-shot,heat-wave,helping-hand,hyper-beam,iron-tail,knock-off,lash-out,low-kick,low-sweep,mach-punch,mud-slap,nasty-plot,overheat,poison-jab,protect,psych-up,raging-fury,rest,reversal,roar,rock-slide,rock-tomb,round,scary-face,scorching-sands,shadow-claw,slack-off,sleep-talk,smack-down,snore,solar-beam,stealth-rock,stone-edge,substitute,sunny-day,switcheroo,swords-dance,taunt,temper-flare,thief,throat-chop,thunder-punch,torment,u-turn,upper-hand,uproar,vacuum-wave,will-o-wisp,zen-headbutt"
"395","empoleon","","water","steel","84","86","88","111","101","60","torrent","defiant","","845","17","395","flash-cannon,ice-beam,protect,weather-ball,aerial-ace,agility,air-cutter,air-slash,aqua-jet,aqua-ring,attract,avalanche,blizzard,body-slam,brick-break,bulldoze,charm,chilling-water,dig,dive,double-edge,drill-peck,dual-wingbeat,earthquake,endure,facade,feather-dance,fling,flip-turn,giga-impact,grass-knot,haze,helping-hand,hydro-cannon,hydro-pump,hyper-beam,ice-spinner,icy-wind,iron-defense,knock-off,lash-out,liquidation,metal-sound,mud-slap,power-trip,psych-up,rain-dance,rest,roar,rock-slide,rock-tomb,roost,round,scary-face,shadow-claw,sleep-talk,snore,snowscape,stealth-rock,steel-beam,steel-wing,substitute,surf,swagger,swords-dance,throat-chop,triple-axel,uproar,vacuum-wave,water-pulse,waterfall,wave-crash,whirlpool,yawn"
"405","luxray","","electric","","80","120","79","95","79","70","rivalry","intimidate","guts","420","14","405","agility,baby-doll-eyes,bite,body-slam,charge,charge-beam,confuse-ray,crunch,discharge,double-edge,eerie-impulse,electric-terrain,electro-ball,electroweb,endure,facade,fake-tears,fire-fang,giga-impact,helping-hand,howl,hyper-beam,ice-fang,iron-tail,light-screen,night-slash,play-rough,protect,psychic-fangs,quick-attack,rain-dance,rest,rising-voltage,roar,round,scary-face,sleep-talk,snarl,snore,substitute,sunny-day,supercell-slam,superpower,swagger,thief,throat-chop,thunder,thunder-fang,thunder-wave,thunderbolt,trailblaze,volt-switch,wild-charge"
"407","roserade","","grass","poison","60","70","65","125","105","90","natural-cure","poison-point","technician","145","9","407","attract,body-slam,bullet-seed,charm,cotton-spore,dazzling-gleam,endure,energy-ball,extrasensory,facade,giga-drain,giga-impact,grass-knot,grassy-glide,grassy-terrain,growth,hyper-beam,ingrain,leaf-storm,leech-seed,life-dew,petal-blizzard,petal-dance,pin-missile,poison-jab,power-whip,protect,rain-dance,rest,round,seed-bomb,shadow-ball,sleep-powder,sleep-talk,sludge-bomb,snore,solar-beam,spikes,stun-spore,substitute,sunny-day,sweet-scent,swords-dance,synthesis,toxic,toxic-spikes,trailblaze,uproar,venoshock,weather-ball,worry-seed"
"409","rampardos","","rock","","97","165","60","65","50","58","mold-breaker","sheer-force","","1025","16","409","ancient-power,assurance,attract,avalanche,blizzard,body-press,body-slam,breaking-swipe,brick-break,bulldoze,crunch,curse,dig,double-edge,dragon-cheer,dragon-claw,dragon-pulse,dragon-tail,earth-power,earthquake,endeavor,endure,facade,fire-blast,fire-punch,flamethrower,fling,focus-blast,focus-energy,focus-punch,giga-impact,hammer-arm,head-smash,heavy-slam,hyper-beam,ice-beam,iron-head,iron-tail,meteor-beam,mud-slap,outrage,payback,protect,rain-dance,rest,roar,rock-blast,rock-slide,rock-tomb,round,sandstorm,scary-face,screech,sleep-talk,smack-down,snore,stealth-rock,stomping-tantrum,stone-edge,substitute,sunny-day,supercell-slam,superpower,surf,swords-dance,thief,thrash,thunder,thunder-punch,thunderbolt,trailblaze,uproar,whirlwind,zen-headbutt"
"411","bastiodon","","rock","steel","60","52","168","47","138","30","sturdy","soundproof","","1495","13","411","ancient-power,attract,avalanche,blizzard,block,body-press,body-slam,bulldoze,counter,curse,dig,double-edge,earth-power,earthquake,endure,facade,fire-blast,fissure,flamethrower,flash-cannon,focus-energy,foul-play,giga-impact,guard-split,hard-press,heavy-slam,hyper-beam,ice-beam,iron-defense,iron-head,iron-tail,metal-burst,metal-sound,meteor-beam,mud-slap,outrage,power-gem,protect,rain-dance,reflect,rest,reversal,roar,rock-blast,rock-slide,rock-tomb,round,sand-tomb,sandstorm,scary-face,scorching-sands,screech,sleep-talk,smack-down,snore,stealth-rock,steel-beam,steel-roller,stomping-tantrum,stone-edge,substitute,sunny-day,swagger,taunt,thunder,thunderbolt,trailblaze,wide-guard"
"428","lopunny","","normal","","65","76","84","54","96","105","cute-charm","klutz","limber","333","12","428","close-combat,fake-out,protect,quick-attack,acrobatics,after-you,agility,assurance,attract,aura-sphere,baby-doll-eyes,baton-pass,blizzard,bounce,brutal-swing,charm,circle-throw,copycat,cosmic-power,cotton-guard,dig,double-hit,drain-punch,draining-kiss,dynamic-punch,encore,endure,entrainment,facade,fake-tears,fire-punch,flail,flatter,fling,focus-blast,focus-punch,giga-impact,grass-knot,healing-wish,helping-hand,high-jump-kick,hyper-beam,hyper-voice,ice-beam,ice-punch,iron-tail,low-kick,low-sweep,mach-punch,mega-kick,mirror-coat,payback,play-rough,pounce,rain-dance,rest,reversal,round,shadow-ball,sleep-talk,snore,solar-beam,substitute,sunny-day,sweet-kiss,switcheroo,swords-dance,teeter-dance,thunder,thunder-punch,thunder-wave,thunderbolt,trailblaze,triple-axel,u-turn,uproar"
"442","spiritomb","","ghost","dark","50","92","108","92","108","35","pressure","infiltrator","","1080","10","442","ally-switch,body-slam,burning-jealousy,calm-mind,confuse-ray,curse,dark-pulse,destiny-bond,disable,endure,facade,foul-play,giga-impact,helping-hand,hex,hyper-beam,hypnosis,icy-wind,imprison,lash-out,memento,nasty-plot,night-shade,pain-split,payback,phantom-force,poltergeist,protect,psychic,psyshock,rain-dance,rest,rock-tomb,round,scary-face,shadow-ball,shadow-sneak,skill-swap,sleep-talk,snarl,snore,spite,stored-power,substitute,sucker-punch,sunny-day,taunt,thief,toxic,trick,trick-room,uproar,will-o-wisp,wonder-room"
"445","garchomp","","dragon","ground","108","130","95","80","85","102","sand-veil","rough-skin","","950","19","445","dragon-claw,earthquake,rock-slide,protect,stomping-tantrum,bulldoze,swords-dance,stone-edge,poison-jab,high-horsepower,rock-tomb,scale-shot,aerial-ace,bite,body-slam,breaking-swipe,brick-break,brutal-swing,crunch,dig,double-edge,draco-meteor,dragon-cheer,dragon-pulse,dragon-rush,dragon-tail,earth-power,endure,facade,fire-blast,fire-fang,flamethrower,fling,giga-impact,helping-hand,hyper-beam,iron-head,iron-tail,liquidation,mud-shot,outrage,power-gem,rain-dance,rest,round,sand-tomb,sandstorm,scary-face,scorching-sands,shadow-claw,sleep-talk,snore,spikes,stealth-rock,substitute,sunny-day,surf,thrash,thunder-fang"
"448","lucario","","fighting","steel","70","110","70","115","70","90","steadfast","inner-focus","justified","540","12","448","aerial-ace,agility,aura-sphere,bite,blaze-kick,body-slam,bone-rush,brick-break,bulk-up,bulldoze,bullet-punch,calm-mind,circle-throw,close-combat,coaching,copycat,counter,cross-chop,crunch,dark-pulse,detect,dig,dragon-pulse,drain-punch,earthquake,endure,extreme-speed,facade,feint,final-gambit,flash-cannon,fling,focus-blast,focus-energy,focus-punch,giga-impact,heal-pulse,helping-hand,high-jump-kick,howl,hyper-beam,ice-punch,iron-defense,iron-tail,life-dew,low-kick,low-sweep,mega-kick,metal-sound,meteor-mash,nasty-plot,payback,poison-jab,protect,psych-up,psychic,quick-attack,quick-guard,rain-dance,rest,reversal,roar,rock-slide,rock-tomb,round,scary-face,screech,shadow-ball,shadow-claw,sleep-talk,snore,steel-beam,stone-edge,substitute,sunny-day,swords-dance,terrain-pulse,thunder-punch,trailblaze,upper-hand,vacuum-wave,water-pulse,zen-headbutt"
"450","hippowdon","","ground","","108","112","118","68","72","47","sand-stream","sand-force","","3000","20","450","amnesia,bite,body-press,body-slam,bulldoze,crunch,curse,dig,earth-power,earthquake,endure,facade,fire-fang,fissure,giga-impact,hard-press,heavy-slam,helping-hand,high-horsepower,hyper-beam,hyper-voice,ice-fang,iron-head,mud-shot,mud-slap,muddy-water,protect,rest,roar,rock-slide,rock-tomb,round,sand-tomb,sandstorm,scorching-sands,slack-off,sleep-talk,snore,spit-up,stealth-rock,stockpile,stomping-tantrum,stone-edge,substitute,sunny-day,superpower,swallow,thunder-fang,whirlwind,yawn"
"454","toxicroak","","poison","fighting","83","106","65","86","65","85","anticipation","dry-skin","poison-touch","444","13","454","acid-spray,aerial-ace,assurance,baton-pass,belch,bounce,brick-break,bulk-up,bulldoze,bullet-punch,chilling-water,close-combat,coaching,corrosive-gas,counter,cross-chop,cross-poison,dark-pulse,dig,drain-punch,dynamic-punch,earthquake,encore,endure,facade,fake-out,feint,flatter,fling,focus-blast,focus-punch,foul-play,giga-impact,gunk-shot,helping-hand,hyper-beam,ice-punch,icy-wind,knock-off,lash-out,low-kick,low-sweep,mega-kick,mud-shot,mud-slap,nasty-plot,payback,poison-jab,protect,quick-guard,rain-dance,rest,reversal,rock-slide,rock-tomb,round,scary-face,screech,shadow-ball,shadow-claw,sleep-talk,sludge-bomb,sludge-wave,snore,spite,stone-edge,substitute,sucker-punch,sunny-day,super-fang,swagger,swords-dance,taunt,thief,throat-chop,thunder-punch,toxic,upper-hand,vacuum-wave,venoshock,x-scissor"
"460","abomasnow","","grass","ice","90","92","75","92","85","60","snow-warning","soundproof","","1355","22","460","aurora-veil,avalanche,blizzard,body-press,body-slam,brick-break,bulldoze,bullet-seed,chilling-water,curse,double-edge,earth-power,earthquake,endure,energy-ball,facade,fling,focus-blast,focus-punch,frost-breath,giga-drain,giga-impact,grass-knot,grassy-glide,growth,hard-press,helping-hand,hyper-beam,ice-beam,ice-hammer,ice-punch,ice-shard,ice-spinner,icicle-spear,icy-wind,ingrain,iron-tail,leaf-storm,leech-seed,low-kick,mega-kick,mud-slap,outrage,protect,rain-dance,rest,rock-slide,rock-tomb,round,scary-face,seed-bomb,shadow-ball,sheer-cold,sleep-talk,snore,snowscape,solar-beam,stomping-tantrum,substitute,swagger,swords-dance,trailblaze,water-pulse,weather-ball,wood-hammer"
"461","weavile","","dark","ice","70","120","65","45","85","125","pressure","pickpocket","","340","11","461","beat-up,fake-out,throat-chop,triple-axel,aerial-ace,agility,assurance,avalanche,baton-pass,bite,blizzard,brick-break,calm-mind,chilling-water,counter,dark-pulse,dig,double-hit,endure,facade,fake-tears,feint,fling,focus-blast,focus-punch,foul-play,giga-impact,helping-hand,hyper-beam,ice-beam,ice-punch,ice-shard,ice-spinner,icicle-crash,icicle-spear,icy-wind,knock-off,lash-out,low-kick,low-sweep,mega-kick,nasty-plot,night-slash,payback,poison-jab,protect,psycho-cut,quick-attack,rain-dance,reflect,rest,reversal,round,scary-face,screech,shadow-ball,shadow-claw,sleep-talk,snarl,snore,snowscape,spite,substitute,sunny-day,surf,swords-dance,taunt,thief,trailblaze,upper-hand,water-pulse,x-scissor"
"464","rhyperior","","ground","rock","115","140","130","55","55","40","lightning-rod","solid-rock","reckless","2828","24","464","avalanche,blizzard,body-press,body-slam,breaking-swipe,brick-break,brutal-swing,bulldoze,counter,crunch,curse,dig,double-edge,dragon-pulse,dragon-rush,dragon-tail,drill-run,earth-power,earthquake,endeavor,endure,facade,fire-blast,fire-fang,fire-punch,flamethrower,flash-cannon,fling,focus-blast,focus-punch,giga-impact,guard-split,hammer-arm,heat-crash,heavy-slam,helping-hand,high-horsepower,horn-drill,hydro-pump,hyper-beam,ice-beam,ice-fang,ice-punch,icy-wind,iron-defense,iron-head,iron-tail,mega-kick,megahorn,metal-burst,meteor-beam,mud-shot,mud-slap,outrage,payback,poison-jab,protect,rain-dance,rest,reversal,roar,rock-blast,rock-polish,rock-slide,rock-tomb,rock-wrecker,round,sandstorm,scary-face,scorching-sands,shadow-claw,sleep-talk,smack-down,smart-strike,snore,stealth-rock,stomping-tantrum,stone-edge,substitute,sunny-day,supercell-slam,superpower,surf,swords-dance,temper-flare,thief,thunder,thunder-fang,thunder-punch,thunderbolt,uproar"
"470","leafeon","","grass","","65","110","130","60","65","95","leaf-guard","chlorophyll","","255","10","470","aerial-ace,alluring-voice,baby-doll-eyes,baton-pass,bite,body-slam,bullet-seed,calm-mind,charm,copycat,covet,curse,detect,dig,double-edge,endure,energy-ball,facade,fake-tears,flail,focus-energy,giga-drain,giga-impact,grass-knot,grassy-glide,helping-hand,hyper-beam,hyper-voice,knock-off,last-resort,leaf-blade,leaf-storm,leech-seed,mud-shot,mud-slap,protect,quick-attack,rain-dance,rest,roar,round,seed-bomb,shadow-ball,sleep-talk,snore,solar-beam,solar-blade,stored-power,substitute,sunny-day,swords-dance,synthesis,tickle,trailblaze,weather-ball,wish,x-scissor,yawn"
"471","glaceon","","ice","","65","60","110","130","95","65","snow-cloak","ice-body","","259","8","471","alluring-voice,avalanche,baby-doll-eyes,baton-pass,bite,blizzard,body-slam,calm-mind,chilling-water,copycat,covet,curse,detect,dig,double-edge,endure,facade,fake-tears,flail,focus-energy,freeze-dry,frost-breath,giga-impact,gravity,haze,helping-hand,hyper-beam,hyper-voice,ice-beam,ice-fang,ice-shard,icicle-spear,icy-wind,last-resort,mirror-coat,mud-shot,mud-slap,protect,quick-attack,rain-dance,rest,roar,round,shadow-ball,sleep-talk,snore,snowscape,stored-power,substitute,sunny-day,tickle,trailblaze,triple-axel,water-pulse,weather-ball,wish,yawn"
"472","gliscor","","ground","flying","75","95","125","45","75","95","hyper-cutter","sand-veil","poison-heal","425","20","472","acrobatics,aerial-ace,agility,assurance,attract,baton-pass,breaking-swipe,brick-break,brutal-swing,bulldoze,counter,crabhammer,cross-poison,crunch,dark-pulse,dig,double-edge,dual-wingbeat,earth-power,earthquake,endure,facade,feint,fire-fang,fling,giga-impact,gunk-shot,high-horsepower,hyper-beam,ice-fang,iron-tail,knock-off,lunge,mud-shot,mud-slap,night-slash,payback,pin-missile,poison-jab,power-whip,protect,psychic-fangs,quick-attack,rain-dance,rest,rock-slide,rock-tomb,round,sand-tomb,sandstorm,scale-shot,scary-face,screech,skitter-smack,sleep-talk,sludge-bomb,snore,spikes,stealth-rock,steel-wing,stone-edge,struggle-bug,substitute,sunny-day,swords-dance,tailwind,thief,throat-chop,thunder-fang,toxic,toxic-spikes,u-turn,venoshock,x-scissor"
"473","mamoswine","","ice","ground","110","130","80","70","60","80","oblivious","snow-cloak","thick-fat","2910","25","473","icicle-crash,earthquake,high-horsepower,ice-shard,icy-wind,protect,rock-slide,amnesia,ancient-power,attract,avalanche,bite,blizzard,body-press,body-slam,bulldoze,charm,curse,dig,double-hit,double-edge,earth-power,endeavor,endure,facade,fissure,flail,freeze-dry,giga-impact,hard-press,haze,heavy-slam,hyper-beam,ice-beam,ice-fang,icicle-spear,iron-head,knock-off,mud-shot,mud-slap,rain-dance,reflect,rest,reversal,roar,rock-blast,rock-tomb,sand-tomb,sandstorm,scary-face,sleep-talk,smack-down,snore,snowscape,stealth-rock,stomping-tantrum,stone-edge,substitute,superpower,thrash,throat-chop,trailblaze"
"475","gallade","","psychic","fighting","68","125","65","65","115","80","steadfast","sharpness","justified","520","16","475","protect,psycho-cut,sacred-sword,encore,knock-off,aerial-ace,agility,air-slash,alluring-voice,aqua-cutter,aura-sphere,body-slam,brick-break,bulk-up,bulldoze,calm-mind,charge-beam,charm,close-combat,coaching,confuse-ray,dazzling-gleam,destiny-bond,disable,double-team,drain-punch,draining-kiss,earthquake,endure,energy-ball,expanding-force,facade,feint,fire-punch,fling,focus-blast,focus-punch,future-sight,giga-impact,grass-knot,heal-pulse,helping-hand,hex,hyper-beam,hyper-voice,hypnosis,ice-punch,icy-wind,imprison,leaf-blade,life-dew,light-screen,low-kick,low-sweep,magic-room,mean-look,mega-kick,memento,misty-terrain,mystical-fire,night-shade,night-slash,pain-split,poison-jab,psych-up,psychic,psychic-terrain,psyshock,quick-guard,rain-dance,reflect,rest,reversal,rock-slide,rock-tomb,round,safeguard,shadow-ball,shadow-claw,shadow-sneak,skill-swap,sleep-talk,snore,solar-blade,stone-edge,stored-power,substitute,sunny-day,swords-dance,taunt,thief,throat-chop,thunder-punch,thunder-wave,thunderbolt,trick,trick-room,triple-axel,upper-hand,vacuum-wave"
"478","froslass","","ice","ghost","70","80","70","80","70","110","snow-cloak","cursed-body","","266","13","478","blizzard,protect,shadow-ball,aurora-veil,taunt,avalanche,bite,block,body-slam,charm,chilling-water,confuse-ray,crunch,curse,destiny-bond,disable,double-team,draining-kiss,endure,facade,fake-tears,fling,frost-breath,giga-impact,haze,helping-hand,hex,hyper-beam,ice-beam,ice-fang,ice-punch,ice-shard,ice-spinner,icicle-crash,icicle-spear,icy-wind,imprison,light-screen,nasty-plot,night-shade,pain-split,payback,phantom-force,poltergeist,psych-up,psychic,rain-dance,reflect,rest,round,safeguard,scary-face,sleep-talk,snore,snowscape,spikes,spite,substitute,switcheroo,thunder,thunder-wave,thunderbolt,trailblaze,trick,triple-axel,water-pulse,weather-ball,will-o-wisp"
"479","rotom","","electric","ghost","50","50","77","95","77","91","levitate","","","3","3","479","charge,charge-beam,confuse-ray,dark-pulse,discharge,double-team,eerie-impulse,electric-terrain,electro-ball,electroweb,endure,facade,foul-play,helping-hand,hex,hyper-beam,light-screen,nasty-plot,night-shade,pain-split,poltergeist,protect,rain-dance,reflect,rest,rising-voltage,round,shadow-ball,sleep-talk,snore,spite,stored-power,substitute,sunny-day,thief,thunder,thunder-wave,thunderbolt,trick,uproar,volt-switch,will-o-wisp"
"479","rotom-heat","heat","electric","fire","50","65","107","105","107","86","levitate","","","3","3","10008","overheat,protect,thunderbolt,volt-switch,will-o-wisp,trick,volt-tackle,ally-switch,astonish,charge,charge-beam,confide,confuse-ray,dark-pulse,defog,discharge,double-team,dream-eater,eerie-impulse,electric-terrain,electro-ball,electroweb,endure,facade,flash,foul-play,frustration,helping-hand,hex,hidden-power,hyper-voice,light-screen,mud-slap,nasty-plot,natural-gift,night-shade,ominous-wind,pain-split,poltergeist,psych-up,rain-dance,reflect,rest,return,rising-voltage,round,secret-power,shadow-ball,shock-wave,signal-beam,sleep-talk,snatch,snore,spite,stored-power,substitute,sucker-punch,sunny-day,swagger,swift,telekinesis,tera-blast,thief,thunder,thunder-shock,thunder-wave,toxic,uproar"
"479","rotom-wash","wash","electric","water","50","65","107","105","107","86","levitate","","","3","3","10009","hydro-pump,thunderbolt,volt-switch,protect,will-o-wisp,electroweb,trick,discharge,helping-hand,eerie-impulse,light-screen,nasty-plot,ally-switch,astonish,charge,charge-beam,confide,confuse-ray,dark-pulse,defog,double-team,dream-eater,electric-terrain,electro-ball,endure,facade,flash,foul-play,frustration,hex,hidden-power,hyper-voice,mud-slap,natural-gift,night-shade,ominous-wind,pain-split,poltergeist,psych-up,rain-dance,reflect,rest,return,rising-voltage,round,secret-power,shadow-ball,shock-wave,signal-beam,sleep-talk,snatch,snore,spite,stored-power,substitute,sucker-punch,sunny-day,swagger,swift,telekinesis,tera-blast,thief,thunder,thunder-shock,thunder-wave,toxic,uproar"
"479","rotom-frost","frost","electric","ice","50","65","107","105","107","86","levitate","","","3","3","10010","ally-switch,astonish,blizzard,charge,charge-beam,confide,confuse-ray,dark-pulse,defog,discharge,double-team,dream-eater,eerie-impulse,electric-terrain,electro-ball,electroweb,endure,facade,flash,foul-play,frustration,helping-hand,hex,hidden-power,hyper-voice,light-screen,mud-slap,nasty-plot,natural-gift,night-shade,ominous-wind,pain-split,poltergeist,protect,psych-up,rain-dance,reflect,rest,return,rising-voltage,round,secret-power,shadow-ball,shock-wave,signal-beam,sleep-talk,snatch,snore,spite,stored-power,substitute,sucker-punch,sunny-day,swagger,swift,telekinesis,tera-blast,thief,thunder,thunder-shock,thunder-wave,thunderbolt,toxic,trick,uproar,volt-switch,will-o-wisp"
"479","rotom-fan","fan","electric","flying","50","65","107","105","107","86","levitate","","","3","3","10011","air-slash,ally-switch,astonish,charge,charge-beam,confide,confuse-ray,dark-pulse,defog,discharge,double-team,dream-eater,eerie-impulse,electric-terrain,electro-ball,electroweb,endure,facade,flash,foul-play,frustration,helping-hand,hex,hidden-power,hyper-voice,light-screen,mud-slap,nasty-plot,natural-gift,night-shade,ominous-wind,pain-split,poltergeist,protect,psych-up,rain-dance,reflect,rest,return,rising-voltage,round,secret-power,shadow-ball,shock-wave,signal-beam,sleep-talk,snatch,snore,spite,stored-power,substitute,sucker-punch,sunny-day,swagger,swift,telekinesis,tera-blast,thief,thunder,thunder-shock,thunder-wave,thunderbolt,toxic,trick,uproar,volt-switch,will-o-wisp"
"479","rotom-mow","mow","electric","grass","50","65","107","105","107","86","levitate","","","3","3","10012","ally-switch,astonish,charge,charge-beam,confide,confuse-ray,dark-pulse,defog,discharge,double-team,dream-eater,eerie-impulse,electric-terrain,electro-ball,electroweb,endure,facade,flash,foul-play,frustration,helping-hand,hex,hidden-power,hyper-voice,leaf-storm,light-screen,mud-slap,nasty-plot,natural-gift,night-shade,ominous-wind,pain-split,poltergeist,protect,psych-up,rain-dance,reflect,rest,return,rising-voltage,round,secret-power,shadow-ball,shock-wave,signal-beam,sleep-talk,snatch,snore,spite,stored-power,substitute,sucker-punch,sunny-day,swagger,swift,telekinesis,tera-blast,thief,thunder,thunder-shock,thunder-wave,thunderbolt,toxic,trick,uproar,volt-switch,will-o-wisp"
"497","serperior","","grass","","75","75","95","75","95","113","overgrow","contrary","","630","33","497","aerial-ace,attract,body-slam,breaking-swipe,brutal-swing,bullet-seed,calm-mind,coil,double-edge,dragon-pulse,dragon-tail,endure,energy-ball,facade,frenzy-plant,gastro-acid,giga-drain,giga-impact,glare,grass-knot,grassy-glide,grassy-terrain,growth,helping-hand,hyper-beam,iron-tail,knock-off,leaf-blade,leaf-storm,leech-seed,light-screen,mean-look,mirror-coat,outrage,petal-blizzard,protect,reflect,rest,round,scale-shot,scary-face,seed-bomb,sleep-talk,snore,solar-beam,substitute,sunny-day,sweet-scent,swords-dance,synthesis,taunt,trailblaze,wrap"
"500","emboar","","fire","fighting","110","123","65","100","65","65","blaze","reckless","","1500","16","500","assurance,blast-burn,body-press,body-slam,brick-break,bulk-up,bulldoze,burn-up,close-combat,coaching,curse,dig,double-edge,drain-punch,earthquake,endeavor,endure,facade,fire-blast,fire-punch,fire-spin,flame-charge,flamethrower,flare-blitz,fling,focus-blast,focus-energy,focus-punch,giga-impact,grass-knot,gyro-ball,hammer-arm,hard-press,head-smash,heat-crash,heat-wave,heavy-slam,helping-hand,high-horsepower,hyper-beam,iron-head,iron-tail,knock-off,low-kick,low-sweep,mud-slap,overheat,poison-jab,protect,rest,reversal,roar,rock-slide,rock-tomb,round,scald,scary-face,scorching-sands,sleep-talk,smack-down,snore,solar-beam,solar-blade,stomping-tantrum,stone-edge,storm-throw,substitute,sucker-punch,sunny-day,superpower,taunt,temper-flare,thrash,thunder-punch,trailblaze,wild-charge,will-o-wisp,yawn,zen-headbutt"
"503","samurott","","water","","95","100","85","108","70","70","torrent","shell-armor","","946","15","503","aerial-ace,air-slash,aqua-cutter,aqua-jet,aqua-tail,assurance,avalanche,blizzard,body-slam,brick-break,bulldoze,chilling-water,copycat,detect,dig,dive,drill-run,encore,endure,facade,fling,flip-turn,focus-energy,giga-impact,grass-knot,helping-hand,hydro-cannon,hydro-pump,hyper-beam,ice-beam,icy-wind,iron-tail,knock-off,liquidation,megahorn,night-slash,protect,rain-dance,razor-shell,rest,round,sacred-sword,scary-face,screech,sleep-talk,smart-strike,snore,snowscape,soak,substitute,superpower,surf,swords-dance,taunt,thief,upper-hand,vacuum-wave,water-pulse,waterfall,whirlpool,x-scissor"
"503","samurott-hisui","hisui","water","dark","90","108","80","100","65","85","torrent","sharpness","","582","15","10236","aerial-ace,air-slash,aqua-cutter,aqua-jet,aqua-tail,assurance,avalanche,blizzard,body-slam,brick-break,bulldoze,ceaseless-edge,chilling-water,copycat,dark-pulse,detect,dig,dive,drill-run,encore,endure,facade,fling,flip-turn,focus-energy,giga-impact,grass-knot,helping-hand,hydro-cannon,hydro-pump,hyper-beam,ice-beam,icy-wind,iron-tail,knock-off,lash-out,liquidation,megahorn,night-slash,protect,rain-dance,razor-shell,rest,round,sacred-sword,scary-face,screech,sleep-talk,smart-strike,snarl,snore,snowscape,soak,substitute,sucker-punch,superpower,surf,swords-dance,taunt,thief,throat-chop,upper-hand,vacuum-wave,water-pulse,waterfall,whirlpool,x-scissor"
"505","watchog","","normal","","60","85","69","60","69","77","illuminate","keen-eye","analytic","270","11","505","after-you,assurance,attract,baton-pass,bite,bullet-seed,confuse-ray,crunch,detect,dig,double-edge,endure,facade,fire-punch,flamethrower,fling,focus-blast,focus-energy,giga-impact,grass-knot,gunk-shot,helping-hand,hyper-beam,hypnosis,ice-punch,iron-tail,light-screen,low-kick,mean-look,mud-shot,nasty-plot,protect,psych-up,rain-dance,rest,round,screech,seed-bomb,shadow-ball,sleep-talk,snore,stomping-tantrum,substitute,sunny-day,super-fang,swords-dance,thunder,thunder-punch,thunder-wave,thunderbolt,trailblaze,zen-headbutt"
"510","liepard","","dark","","64","88","50","88","50","106","limber","unburden","prankster","375","11","510","assurance,attract,baton-pass,bite,burning-jealousy,charm,copycat,covet,crunch,dark-pulse,double-team,encore,endure,facade,fake-out,fake-tears,fire-fang,foul-play,giga-impact,grass-knot,gunk-shot,hyper-beam,hyper-voice,ice-fang,iron-tail,knock-off,lash-out,nasty-plot,night-slash,payback,play-rough,protect,psychic-fangs,psycho-cut,quick-attack,rain-dance,rest,round,screech,seed-bomb,shadow-ball,shadow-claw,skitter-smack,sleep-talk,snarl,snore,substitute,sucker-punch,sunny-day,swagger,taunt,thief,throat-chop,thunder-fang,thunder-wave,torment,trailblaze,trick,u-turn,yawn"
