"Name","Type","Category","Power","Accuracy","PP","Priority","Effect","EffectChance","MinHits","MaxHits","Target","Contact","Sound","Punch","Bite","Pulse","Bullet","Slicing","Recoil"
"fairy-wind","fairy","special","40","100","20","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"fake-out","normal","physical","40","100","12","3","Can only be used as the first move after the user enters battle.  Causes the target to flinch.","100","","","selected-pokemon","","","","","","","",""
"fake-tears","dark","status","","100","20","0","Lowers the target’s Special Defense by two stages.","","","","selected-pokemon","","","","","","","",""
"false-surrender","dark","physical","80","","12","0","Never misses.","","","","selected-pokemon","","","","","","","",""
"false-swipe","normal","physical","40","100","20","0","Cannot lower the target’s HP below 1.","","","","selected-pokemon","","","","","","","",""
"feather-dance","flying","status","","100","16","0","Lowers the target’s Attack by two stages.","","","","selected-pokemon","","","","","","","",""
"feint","normal","physical","30","100","12","2","Hits through Protect and Detect.","","","","selected-pokemon","","","","","","","",""
"feint-attack","dark","physical","60","","20","0","Never misses.","","","","selected-pokemon","","","","","","","",""
"fell-stinger","bug","physical","50","100","20","0","Raises the user’s Attack by two stages if it KOs the target.","","","","selected-pokemon","","","","","","","",""
"fickle-beam","dragon","special","80","100","8","0","","","","","selected-pokemon","","","","","","","",""
"fiery-dance","fire","special","80","100","12","0","Has a $effect_chance% chance to raise the user’s Special Attack by one stage.","50","","","selected-pokemon","","","","","","","",""
"fiery-wrath","dark","special","90","100","12","0","Inflicts regular damage with no additional effect.","20","","","all-opponents","","","","","","","",""
"fillet-away","normal","status","0","","12","0","","","","","user","","","","","","","",""
"final-gambit","fighting","special","","100","8","0","Inflicts damage equal to the user’s remaining HP.  User faints.","","","","selected-pokemon","","","","","","","",""
"fire-blast","fire","special","110","85","8","0","Has a $effect_chance% chance to burn the target.","10","","","selected-pokemon","","","","","","","",""
"fire-fang","fire","physical","65","95","16","0","Has a $effect_chance% chance to burn the target and a $effect_chance% chance to make the target flinch.","10","","","selected-pokemon","","","","","","","",""
"fire-lash","fire","physical","90","100","16","0","Lowers the target’s Defense by one stage after inflicting damage.","100","","","selected-pokemon","","","","","","","",""
"fire-pledge","fire","special","80","100","12","0","With Water Pledge, doubles the effect chance of friendly Pokémon’s moves for four turns.","","","","selected-pokemon","","","","","","","",""
"fire-punch","fire","physical","75","100","16","0","Has a $effect_chance% chance to burn the target.","10","","","selected-pokemon","","","","","","","",""
"fire-spin","fire","special","35","85","16","0","Prevents the target from fleeing and inflicts damage for 2-5 turns.","100","","","selected-pokemon","","","","","","","",""
"first-impression","bug","physical","100","100","12","2","Can only be used as the first move after the user enters battle.","","","","selected-pokemon","","","","","","","",""
"fishious-rend","water","physical","85","100","12","0","","","","","selected-pokemon","","","","","","","",""
"fissure","ground","physical","","30","8","0","Causes a one-hit KO.","","","","selected-pokemon","","","","","","","",""
"flail","normal","physical","","100","16","0","Inflicts more damage when the user has less HP remaining, with a maximum of 200 power.","","","","selected-pokemon","","","","","","","",""
"flame-burst","fire","special","70","100","16","0","Deals splash damage to Pokémon next to the target.","","","","selected-pokemon","","","","","","","",""
"flame-charge","fire","physical","50","100","20","0","Inflicts regular damage.  Raises the user’s Speed by one stage.","100","","","selected-pokemon","","","","","","","",""
"flame-wheel","fire","physical","60","100","20","0","Has a $effect_chance% chance to burn the target.  Lets frozen Pokémon thaw themselves.","10","","","selected-pokemon","","","","","","","",""
"flamethrower","fire","special","90","100","16","0","Has a $effect_chance% chance to burn the target.","10","","","selected-pokemon","","","","","","","",""
"flare-blitz","fire","physical","120","100","16","0","User takes 1/3 the damage inflicted in recoil.  Has a $effect_chance% chance to burn the target.","10","","","selected-pokemon","","","","","","","",""
"flash","normal","status","","100","20","0","Lowers the target’s accuracy by one stage.","","","","selected-pokemon","","","","","","","",""
"flash-cannon","steel","special","80","100","12","0","Has a $effect_chance% chance to lower the target’s Special Defense by one stage.","10","","","selected-pokemon","","","","","","","",""
"flatter","dark","status","","100","16","0","Raises the target’s Special Attack by one stage and confuses the target.","","","","selected-pokemon","","","","","","","",""
"fleur-cannon","fairy","special","130","90","8","0","Lowers the user’s Special Attack by two stages after inflicting damage.","100","","","selected-pokemon","","","","","","","",""
"fling","dark","physical","","100","12","0","Throws held item at the target; power depends on the item.","","","","selected-pokemon","","","","","","","",""
"flip-turn","water","physical","60","100","20","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"floaty-fall","flying","physical","90","95","16","0","Inflicts regular damage with no additional effect.","30","","","selected-pokemon","","","","","","","",""
"floral-healing","fairy","status","","","12","0","Heals the target for ½ its max HP, or ⅔ on Grassy Terrain.","","","","selected-pokemon","","","","","","","",""
"flower-shield","fairy","status","","","12","0","Raises the Defense of all grass Pokémon in battle.","100","","","all-pokemon","","","","","","","",""
"flower-trick","grass","physical","70","","12","0","","","","","selected-pokemon","","","","","","","",""
"fly","flying","physical","90","95","16","0","User flies high into the air, dodging all attacks, and hits next turn.","","","","selected-pokemon","","","","","","","",""
"flying-press","fighting","physical","100","95","12","0","Deals both fighting and flying-type damage.","","","","selected-pokemon","","","","","","","",""
"focus-blast","fighting","special","120","70","8","0","Has a $effect_chance% chance to lower the target’s Special Defense by one stage.","10","","","selected-pokemon","","","","","","","",""
"focus-energy","normal","status","","","20","0","Increases the user’s chance to score a critical hit.","","","","user","","","","","","","",""
"focus-punch","fighting","physical","150","100","20","-3","If the user takes damage before attacking, the attack is canceled.","","","","selected-pokemon","","","","","","","",""
"follow-me","normal","status","","","20","2","Redirects the target’s single-target effects to the user for this turn.","","","","user","","","","","","","",""
"force-palm","fighting","physical","60","100","12","0","Has a $effect_chance% chance to paralyze the target.","30","","","selected-pokemon","","","","","","","",""
"foresight","normal","status","","","20","0","Forces the target to have no Evade, and allows it to be hit by Normal and Fighting moves even if it’s a Ghost.","","","","selected-pokemon","","","","","","","",""
"forests-curse","grass","status","","100","20","0","Adds grass to the target’s types.","","","","selected-pokemon","","","","","","","",""
"foul-play","dark","physical","95","100","16","0","Calculates damage with the target’s attacking stat.","","","","selected-pokemon","","","","","","","",""
"freeze-shock","ice","physical","140","90","8","0","Requires a turn to charge before attacking.  Has a $effect_chance% chance to paralyze the target.","30","","","selected-pokemon","","","","","","","",""
"freeze-dry","ice","special","70","100","20","0","Super-effective against water.","10","","","selected-pokemon","","","","","","","",""
"freezing-glare","psychic","special","90","100","12","0","Inflicts regular damage with no additional effect.","10","","","selected-pokemon","","","","","","","",""
"freezy-frost","ice","special","100","90","12","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"frenzy-plant","grass","special","150","90","8","0","User foregoes its next turn to recharge.","","","","selected-pokemon","","","","","","","",""
"frost-breath","ice","special","60","90","12","0","Always scores a critical hit.","100","","","selected-pokemon","","","","","","","",""
"frustration","normal","physical","","100","20","0","Power increases as happiness decreases, up to a maximum of 102.","","","","selected-pokemon","","","","","","","",""
"fury-attack","normal","physical","15","85","20","0","Hits 2-5 times in one turn.","","2","5","selected-pokemon","","","","","","","",""
"fury-cutter","bug","physical","40","95","20","0","Power doubles every turn this move is used in succession after the first, maxing out after five turns.","","","","selected-pokemon","","","","","","","",""
"fury-swipes","normal","physical","18","80","16","0","Hits 2-5 times in one turn.","","2","5","selected-pokemon","","","","","","","",""
"fusion-bolt","electric","physical","100","100","8","0","With Fusion Flare, inflicts double damage.","","","","selected-pokemon","","","","","","","",""
"fusion-flare","fire","special","100","100","8","0","With Fusion Bolt, inflicts double damage.","","","","selected-pokemon","","","","","","","",""
"future-sight","psychic","special","120","100","12","0","Hits the target two turns later.","","","","selected-pokemon","","","","","","","",""
"gastro-acid","poison","status","","100","12","0","Nullifies target’s ability until it leaves battle.","","","","selected-pokemon","","","","","","","",""
"gear-grind","steel","physical","50","85","16","0","Hits twice in one turn.","","2","2","selected-pokemon","","","","","","","",""
"gear-up","steel","status","","","20","0","Raises the Attack and Special Attack of all friendly Pokémon with plus or minus by one stage.","","","","user-and-allies","","","","","","","",""
"genesis-supernova","psychic","special","185","","1","0","Changes the terrain to Psychic Terrain after inflicting damage.","","","","selected-pokemon","","","","","","","",""
"geomancy","fairy","status","","","12","0","Takes one turn to charge, then raises the user’s Special Attack, Special Defense, and Speed by two stages.","","","","user","","","","","","","",""
"giga-drain","grass","special","75","100","12","0","Drains half the damage inflicted to heal the user.","","","","selected-pokemon","","","","","","","",""
"giga-impact","normal","physical","150","90","8","0","User foregoes its next turn to recharge.","","","","selected-pokemon","","","","","","","",""
"gigaton-hammer","steel","physical","160","100","8","0","","","","","selected-pokemon","","","","","","","",""
"gigavolt-havoc--special","electric","special","","","1","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"gigavolt-havoc--physical","electric","physical","","","1","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"glacial-lance","ice","physical","120","100","8","0","Inflicts regular damage with no additional effect.","","","","all-opponents","","","","","","","",""
"glaciate","ice","special","65","95","12","0","Lowers the target’s Speed by one stage.","100","","","all-opponents","","","","","","","",""
"glaive-rush","dragon","physical","120","100","8","0","","","","","selected-pokemon","","","","","","","",""
"glare","normal","status","","100","20","0","Paralyzes the target.","","","","selected-pokemon","","","","","","","",""
"glitzy-glow","psychic","special","80","95","16","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"grass-knot","grass","special","","100","20","0","Inflicts more damage to heavier targets, with a maximum of 120 power.","","","","selected-pokemon","","","","","","","",""
"grass-pledge","grass","special","80","100","12","0","With Fire Pledge, damages opposing Pokémon for 1/8 their max HP every turn for four turns.","","","","selected-pokemon","","","","","","","",""
"grass-whistle","grass","status","","55","16","0","Puts the target to sleep.","","","","selected-pokemon","","","","","","","",""
"grassy-glide","grass","physical","55","100","20","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"grassy-terrain","grass","status","","","12","0","For five turns, heals all Pokémon on the ground for 1/16 max HP each turn and strengthens their grass moves to 1.5× their power.","","","","entire-field","","","","","","","",""
"grav-apple","grass","physical","90","100","12","0","Lowers the target’s Defense by one stage after inflicting damage.","100","","","selected-pokemon","","","","","","","",""
"gravity","psychic","status","","","8","0","Disables moves and immunities that involve flying or levitating for five turns.","","","","entire-field","","","","","","","",""
"growl","normal","status","","100","20","0","Lowers the target’s Attack by one stage.","","","","all-opponents","","","","","","","",""
"growth","normal","status","","","20","0","Raises the user’s Attack and Special Attack by one stage.","","","","user","","","","","","","",""
"grudge","ghost","status","","","8","0","If the user faints this turn, the PP of the move that fainted it drops to 0.","","","","user","","","","","","","",""
"guard-split","psychic","status","","","12","0","Averages Defense and Special Defense with the target.","","","","selected-pokemon","","","","","","","",""
"guard-swap","psychic","status","","","12","0","User swaps Defense and Special Defense changes with the target.","","","","selected-pokemon","","","","","","","",""
"guardian-of-alola","fairy","special","","","1","0","Damages the target for 75% of its remaining HP.","","","","selected-pokemon","","","","","","","",""
"guillotine","normal","physical","","30","8","0","Causes a one-hit KO.","","","","selected-pokemon","","","","","","","",""
"gunk-shot","poison","physical","120","80","8","0","Has a $effect_chance% chance to poison the target.","30","","","selected-pokemon","","","","","","","",""
"gust","flying","special","40","100","20","0","Inflicts regular damage and can hit Pokémon in the air.","","","","selected-pokemon","","","","","","","",""
"gyro-ball","steel","physical","","100","8","0","Power raises when the user has lower Speed, up to a maximum of 150.","","","","selected-pokemon","","","","","","","",""
"hail","ice","status","","","12","0","Changes the weather to a hailstorm for five turns.","","","","entire-field","","","","","","","",""
"hammer-arm","fighting","physical","100","90","12","0","Lowers user’s Speed by one stage.","100","","","selected-pokemon","","","","","","","",""
"happy-hour","normal","status","","","20","0","Doubles prize money.","","","","users-field","","","","","","","",""
"hard-press","steel","physical","0","100","12","0","","","","","selected-pokemon","","","","","","","",""
"harden","normal","status","","","20","0","Raises the user’s Defense by one stage.","","","","user","","","","","","","",""
"haze","ice","status","","","20","0","Resets all Pokémon’s stats, accuracy, and evasion.","","","","entire-field","","","","","","","",""
"head-charge","normal","physical","120","100","16","0","User receives 1/4 the damage it inflicts in recoil.","","","","selected-pokemon","","","","","","","",""
"head-smash","rock","physical","150","80","8","0","User receives 1/2 the damage inflicted in recoil.","","","","selected-pokemon","","","","","","","",""
"headbutt","normal","physical","70","100","16","0","Has a $effect_chance% chance to make the target flinch.","30","","","selected-pokemon","","","","","","","",""
"headlong-rush","ground","physical","120","100","8","0","","","","","selected-pokemon","","","","","","","",""
"heal-bell","normal","status","","","8","0","Cures the entire party of major status effects.","","","","user-and-allies","","","","","","","",""
"heal-block","psychic","status","","100","16","0","Prevents target from restoring its HP for five turns.","","","","all-opponents","","","","","","","",""
"heal-order","bug","status","","","12","0","Heals the user by half its max HP.","","","","user","","","","","","","",""
"heal-pulse","psychic","status","","","12","0","Heals the target for half its max HP.","","","","selected-pokemon","","","","","","","",""
"healing-wish","psychic","status","","","12","0","User faints.  Its replacement has its HP fully restored and any major status effect removed.","","","","user","","","","","","","",""
"heart-stamp","psychic","physical","60","100","20","0","Has a $effect_chance% chance to make the target flinch.","30","","","selected-pokemon","","","","","","","",""
"heart-swap","psychic","status","","","12","0","User and target swap stat changes.","","","","selected-pokemon","","","","","","","",""
"heat-crash","fire","physical","","100","12","0","Power is higher when the user weighs more than the target, up to a maximum of 120.","","","","selected-pokemon","","","","","","","",""
"heat-wave","fire","special","95","90","12","0","Has a $effect_chance% chance to burn the target.","10","","","all-opponents","","","","","","","",""
"heavy-slam","steel","physical","","100","12","0","Power is higher when the user weighs more than the target, up to a maximum of 120.","","","","selected-pokemon","","","","","","","",""
"helping-hand","normal","status","","","20","5","Ally’s next move inflicts half more damage.","","","","ally","","","","","","","",""
"hex","ghost","special","65","100","12","0","Has double power if the target has a major status ailment.","","","","selected-pokemon","","","","","","","",""
"hidden-power","normal","special","60","100","16","0","Power and type depend upon user’s IVs.  Power can range from 30 to 70.","","","","selected-pokemon","","","","","","","",""
"high-horsepower","ground","physical","95","95","12","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"high-jump-kick","fighting","physical","130","90","12","0","If the user misses, it takes half the damage it would have inflicted in recoil.","","","","selected-pokemon","","","","","","","",""
"hold-back","normal","physical","40","100","20","0","Cannot lower the target’s HP below 1.","","","","selected-pokemon","","","","","","","",""
"hold-hands","normal","status","","","20","0","Does nothing.","","","","ally","","","","","","","",""
"hone-claws","dark","status","","","16","0","Raises the user’s Attack and accuracy by one stage.","","","","user","","","","","","","",""
"horn-attack","normal","physical","65","100","20","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"horn-drill","normal","physical","","30","8","0","Causes a one-hit KO.","","","","selected-pokemon","","","","","","","",""
"horn-leech","grass","physical","75","100","12","0","Drains half the damage inflicted to heal the user.","","","","selected-pokemon","","","","","","","",""
"howl","normal","status","","","20","0","Raises the user’s Attack by one stage.","","","","user-and-allies","","","","","","","",""
"hurricane","flying","special","110","70","12","0","Has a $effect_chance% chance to confuse the target.","30","","","selected-pokemon","","","","","","","",""
"hydro-cannon","water","special","150","90","8","0","User foregoes its next turn to recharge.","","","","selected-pokemon","","","","","","","",""
"hydro-pump","water","special","110","80","8","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"hydro-steam","water","special","80","100","16","0","","","","","selected-pokemon","","","","","","","",""
"hydro-vortex--special","water","special","","","1","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"hydro-vortex--physical","water","physical","","","1","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"hyper-beam","normal","special","150","90","8","0","User foregoes its next turn to recharge.","","","","selected-pokemon","","","","","","","",""
"hyper-drill","normal","physical","100","100","8","0","","","","","selected-pokemon","","","","","","","",""
"hyper-fang","normal","physical","80","90","16","0","Has a $effect_chance% chance to make the target flinch.","10","","","selected-pokemon","","","","","","","",""
"hyper-voice","normal","special","90","100","12","0","Inflicts regular damage with no additional effect.","","","","all-opponents","","","","","","","",""
"hyperspace-fury","dark","physical","100","","8","0","Ignores and destroys protection effects.","100","","","selected-pokemon","","","","","","","",""
"hyperspace-hole","psychic","special","80","","8","0","Ignores and destroys protection effects.","","","","selected-pokemon","","","","","","","",""
"hypnosis","psychic","status","","60","20","0","Puts the target to sleep.","","","","selected-pokemon","","","","","","","",""
"ice-ball","ice","physical","30","90","20","0","Power doubles every turn this move is used in succession after the first, resetting after five turns.","","","","selected-pokemon","","","","","","","",""
"ice-beam","ice","special","90","100","12","0","Has a $effect_chance% chance to freeze the target.","10","","","selected-pokemon","","","","","","","",""
"ice-burn","ice","special","140","90","8","0","Requires a turn to charge before attacking.  Has a $effect_chance% chance to burn the target.","30","","","selected-pokemon","","","","","","","",""
"ice-fang","ice","physical","65","95","16","0","Has a $effect_chance% chance to freeze the target and a $effect_chance% chance to make the target flinch.","10","","","selected-pokemon","","","","","","","",""
"ice-hammer","ice","physical","100","90","12","0","Lowers user’s Speed by one stage.","100","","","selected-pokemon","","","","","","","",""
"ice-punch","ice","physical","75","100","16","0","Has a $effect_chance% chance to freeze the target.","10","","","selected-pokemon","","","","","","","",""
"ice-shard","ice","physical","40","100","20","1","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"ice-spinner","ice","physical","80","100","16","0","","","","","selected-pokemon","","","","","","","",""
"icicle-crash","ice","physical","85","90","12","0","Has a $effect_chance% chance to make the target flinch.","30","","","selected-pokemon","","","","","","","",""
"icicle-spear","ice","physical","25","100","20","0","Hits 2-5 times in one turn.","","2","5","selected-pokemon","","","","","","","",""
"icy-wind","ice","special","55","95","16","0","Has a $effect_chance% chance to lower the target’s Speed by one stage.","100","","","all-opponents","","","","","","","",""
"imprison","psychic","status","","","12","0","Prevents the target from using any moves that the user also knows.","","","","user","","","","","","","",""
"incinerate","fire","special","60","100","16","0","Destroys the target’s held berry.","","","","all-opponents","","","","","","","",""
"infernal-parade","ghost","special","65","100","16","0","","","","","selected-pokemon","","","","","","","",""
"inferno","fire","special","100","50","8","0","Has a $effect_chance% chance to burn the target.","100","","","selected-pokemon","","","","","","","",""
"inferno-overdrive--physical","fire","physical","","","1","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"inferno-overdrive--special","fire","special","","","1","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"infestation","bug","special","20","100","20","0","Prevents the target from fleeing and inflicts damage for 2-5 turns.","100","","","selected-pokemon","","","","","","","",""
"ingrain","grass","status","","","20","0","Prevents the user from leaving battle.  User regains 1/16 of its max HP every turn.","","","","user","","","","","","","",""
"instruct","psychic","status","","","16","0","Forces the target to repeat its last used move.","","","","selected-pokemon","","","","","","","",""
"ion-deluge","electric","status","","","20","1","Changes all normal moves to electric moves for the rest of the turn.","","","","entire-field","","","","","","","",""
"iron-defense","steel","status","","","16","0","Raises the user’s Defense by two stages.","","","","user","","","","","","","",""
"iron-head","steel","physical","80","100","16","0","Has a $effect_chance% chance to make the target flinch.","30","","","selected-pokemon","","","","","","","",""
"iron-tail","steel","physical","100","75","16","0","Has a $effect_chance% chance to lower the target’s Defense by one stage.","30","","","selected-pokemon","","","","","","","",""
"ivy-cudgel","grass","physical","100","100","12","0","","","","","selected-pokemon","","","","","","","",""
"jaw-lock","dark","physical","80","100","12","0","Seeds the target after inflicting damage.","","","","selected-pokemon","","","","","","","",""
"jet-punch","water","physical","60","100","16","1","","","","","selected-pokemon","","","","","","","",""
"judgment","normal","special","100","100","12","0","If the user is holding a appropriate plate or drive, the damage inflicted will match it.","","","","selected-pokemon","","","","","","","",""
"jump-kick","fighting","physical","100","95","12","0","If the user misses, it takes half the damage it would have inflicted in recoil.","","","","selected-pokemon","","","","","","","",""
"jungle-healing","grass","status","","","12","0","Inflicts regular damage with no additional effect.","","","","user-and-allies","","","","","","","",""
"karate-chop","fighting","physical","50","100","20","0","Has an increased chance for a critical hit.","","","","selected-pokemon","","","","","","","",""
"kinesis","psychic","status","","80","16","0","Lowers the target’s accuracy by one stage.","","","","selected-pokemon","","","","","","","",""
"kings-shield","steel","status","","","12","4","Blocks damaging attacks and lowers attacking Pokémon’s Attack by two stages on contact.  Switches Aegislash to Shield Forme.","","","","user","","","","","","","",""
"knock-off","dark","physical","65","100","20","0","Target drops its held item.","","","","selected-pokemon","","","","","","","",""
"kowtow-cleave","dark","physical","85","","12","0","","","","","selected-pokemon","","","","","","","",""
"lands-wrath","ground","physical","90","100","12","0","Inflicts regular damage with no additional effect.","","","","all-opponents","","","","","","","",""
"laser-focus","normal","status","","","20","0","Guarantees a critical hit with the user’s next move.","","","","user","","","","","","","",""
"lash-out","dark","physical","75","100","8","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"last-resort","normal","physical","140","100","8","0","Can only be used after all of the user’s other moves have been used.","","","","selected-pokemon","","","","","","","",""
"last-respects","ghost","physical","50","100","12","0","","","","","selected-pokemon","","","","","","","",""
"lava-plume","fire","special","80","100","16","0","Has a $effect_chance% chance to burn the target.","30","","","all-other-pokemon","","","","","","","",""
"leaf-blade","grass","physical","90","100","16","0","Has an increased chance for a critical hit.","","","","selected-pokemon","","","","","","","",""
"leaf-storm","grass","special","130","90","8","0","Lowers the user’s Special Attack by two stages after inflicting damage.","100","","","selected-pokemon","","","","","","","",""
"leaf-tornado","grass","special","65","90","12","0","Has a $effect_chance% chance to lower the target’s accuracy by one stage.","50","","","selected-pokemon","","","","","","","",""
"leafage","grass","physical","40","100","20","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"leech-life","bug","physical","80","100","12","0","Drains half the damage inflicted to heal the user.","","","","selected-pokemon","","","","","","","",""
"leech-seed","grass","status","","90","12","0","Seeds the target, stealing HP from it every turn.","","","","selected-pokemon","","","","","","","",""
"leer","normal","status","","100","20","0","Lowers the target’s Defense by one stage.","100","","","all-opponents","","","","","","","",""
"lets-snuggle-forever","fairy","physical","190","","1","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"lick","ghost","physical","30","100","20","0","Has a $effect_chance% chance to paralyze the target.","30","","","selected-pokemon","","","","","","","",""
"life-dew","water","status","","","12","0","","","","","user-and-allies","","","","","","","",""
"light-screen","psychic","status","","","20","0","Reduces damage from special attacks by 50% for five turns.","","","","users-field","","","","","","","",""
"light-that-burns-the-sky","psychic","special","200","","1","0","Inflicts damage using either Attack or Special Attack stat, whichever is higher.","","","","selected-pokemon","","","","","","","",""
"light-of-ruin","fairy","special","140","90","8","0","User receives 1/2 the damage inflicted in recoil.","","","","selected-pokemon","","","","","","","",""
"liquidation","water","physical","85","100","12","0","Has a $effect_chance% chance to lower the target’s Defense by one stage.","20","","","selected-pokemon","","","","","","","",""
"lock-on","normal","status","","","8","0","Ensures that the user’s next move will hit the target.","","","","selected-pokemon","","","","","","","",""
"lovely-kiss","normal","status","","75","12","0","Puts the target to sleep.","","","","selected-pokemon","","","","","","","",""
"low-kick","fighting","physical","","100","20","0","Inflicts more damage to heavier targets, with a maximum of 120 power.","","","","selected-pokemon","","","","","","","",""
"low-sweep","fighting","physical","65","100","20","0","Lowers the target’s Speed by one stage.","100","","","selected-pokemon","","","","","","","",""
"lucky-chant","normal","status","","","20","0","Prevents the target from scoring critical hits for five turns.","","","","users-field","","","","","","","",""
"lumina-crash","psychic","special","80","100","12","0","","","","","selected-pokemon","","","","","","","",""
"lunar-blessing","psychic","status","0","","8","0","","","","","all-allies","","","","","","","",""
"lunar-dance","psychic","status","","","12","0","User faints, and its replacement is fully healed.","","","","user","","","","","","","",""
"lunge","bug","physical","80","100","16","0","Lowers the target’s Attack by one stage after inflicting damage.","100","","","selected-pokemon","","","","","","","",""
"luster-purge","psychic","special","95","100","8","0","Has a $effect_chance% chance to lower the target’s Special Defense by one stage.","50","","","selected-pokemon","","","","","","","",""
"mach-punch","fighting","physical","40","100","20","1","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"magic-coat","psychic","status","","","16","4","Reflects back the first effect move used on the user this turn.","","","","user","","","","","","","",""
"magic-powder","psychic","status","","100","20","0","","","","","selected-pokemon","","","","","","","",""
"magic-room","psychic","status","","","12","0","Negates held items for five turns.","","","","entire-field","","","","","","","",""
"magical-leaf","grass","special","60","","20","0","Never misses.","","","","selected-pokemon","","","","","","","",""
"magical-torque","fairy","physical","100","100","12","0","","","","","selected-pokemon","","","","","","","",""
"magma-storm","fire","special","100","75","8","0","Prevents the target from fleeing and inflicts damage for 2-5 turns.","100","","","selected-pokemon","","","","","","","",""
"magnet-bomb","steel","physical","60","","20","0","Never misses.","","","","selected-pokemon","","","","","","","",""
"magnet-rise","electric","status","","","12","0","User is immune to Ground moves and effects for five turns.","","","","user","","","","","","","",""
"magnetic-flux","electric","status","","","20","0","Raises the Defense and Special Defense of all friendly Pokémon with plus or minus by one stage.","","","","user-and-allies","","","","","","","",""
"magnitude","ground","physical","","100","20","0","Power varies randomly from 10 to 150.","","","","all-other-pokemon","","","","","","","",""
"make-it-rain","steel","special","120","100","8","0","","","","","all-opponents","","","","","","","",""
"malicious-moonsault","dark","physical","180","","1","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"malignant-chain","poison","special","100","100","8","0","","","","","selected-pokemon","","","","","","","",""
"mat-block","fighting","status","","","12","0","Protects all friendly Pokémon from damaging moves.  Only works on the first turn after the user is sent out.","","","","users-field","","","","","","","",""
"matcha-gotcha","grass","special","80","90","16","0","","","","","selected-pokemon","","","","","","","",""
"max-airstream","flying","physical","10","","12","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon-me-first","","","","","","","",""
"max-darkness","dark","physical","10","","12","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon-me-first","","","","","","","",""
"max-flare","fire","physical","100","","12","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon-me-first","","","","","","","",""
"max-flutterby","bug","physical","10","","12","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon-me-first","","","","","","","",""
"max-geyser","water","physical","10","","12","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon-me-first","","","","","","","",""
"max-guard","normal","status","","","12","4","Prevents any moves from hitting the user this turn.","","","","user","","","","","","","",""
"max-hailstorm","ice","physical","10","","12","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon-me-first","","","","","","","",""
"max-knuckle","fighting","physical","10","","12","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon-me-first","","","","","","","",""
"max-lightning","electric","physical","10","","12","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon-me-first","","","","","","","",""
"max-mindstorm","psychic","physical","10","","12","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon-me-first","","","","","","","",""
"max-ooze","poison","physical","10","","12","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon-me-first","","","","","","","",""
"max-overgrowth","grass","physical","10","","12","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon-me-first","","","","","","","",""
"max-phantasm","ghost","physical","10","","12","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon-me-first","","","","","","","",""
"max-quake","ground","physical","10","","12","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon-me-first","","","","","","","",""
"max-rockfall","rock","physical","10","","12","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon-me-first","","","","","","","",""
"max-starfall","fairy","physical","10","","12","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon-me-first","","","","","","","",""
"max-steelspike","steel","physical","10","","12","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon-me-first","","","","","","","",""
"max-strike","normal","physical","10","","12","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon-me-first","","","","","","","",""
